FaultsMailbox,0x00000103,1B,type,min,max,multiplier,unit,description,description,
,IMD,bit(0),int,0,1,1,state,,A7,
,BMS,bit(1),int,0,1,1,state,,A1,
,BSPD,bit(2),int,0,1,1,state,,B9,
,Safety_OK,bit(3),int,0,1,1,state,,B12,
,GENERAL ERROR,bit(4),int,0,1,1,state,,B6,
,PRE_CHARGE_TIME_EXCEEDED,bit(5),int,0,1,1,state,,,
,BMS_TIMEOUT,bit(6),int,0,1,1,state,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,0x000,,,,,,,,
,,0x00000000,,,,,,,,
FaultsMailbox,0x00000103,1B,type,min,max,multiplier,unit,description,description,
,IMD,bit(0),int,0,1,1,state,,A7,EXTI
,BMS,bit(1),int,0,1,1,state,,A1,CAN
,BSPD,bit(2),int,0,1,1,state,,B9,EXTI
,Safety_OK,bit(3),int,0,1,1,state,,B12,EXTI
,GENERAL ERROR,bit(4),int,0,1,1,state,,B6,CAN
,PRE_CHARGE_TIME_EXCEEDED,bit(5),int,0,1,1,state,se em 8s nn apagar falta,B2,